"Iteration"	"posterior"	"NumSpeciation"	"numExtinction"	"numMassExtinctions"
0	-5860.29274281149	1	1	0
100	-1847.32949289727	3	2	0
200	-1831.92957425027	2	1	0
300	-1827.67742618653	2	2	0
400	-1830.19571395535	2	2	1
500	-1841.68795507959	3	1	2
600	-1828.2927694184	2	1	1
700	-1833.05752849056	2	1	2
800	-1824.31399610699	2	1	2
900	-1829.71425377493	2	1	3
1000	-1824.91683956378	2	1	3
1100	-1829.95535745869	2	1	4
1200	-1822.304858182	2	1	2
1300	-1825.55965872548	2	1	2
1400	-1833.2140434618	3	1	2
1500	-1840.90241038718	3	1	3
1600	-1834.98292008164	3	1	2
1700	-1825.75270469633	3	1	2
1800	-1826.56637164071	2	1	1
1900	-1834.02453461001	4	1	1
2000	-1836.21524114781	4	1	2
2100	-1828.45606872496	1	1	3
2200	-1820.82629975911	1	1	1
2300	-1832.16367784424	1	1	3
2400	-1822.14313979547	1	1	2
2500	-1820.09900590859	1	1	1
2600	-1832.67111888081	1	1	3
2700	-1822.23649726678	1	1	2
2800	-1825.55907229834	2	1	1
2900	-1828.4178180237	2	1	2
3000	-1832.25944223037	2	1	2
3100	-1824.75067621664	2	1	2
3200	-1832.50163221904	2	1	3
3300	-1834.47101832167	2	1	4
3400	-1825.27117894563	1	1	3
3500	-1830.10179244895	2	1	3
3600	-1836.44231316993	2	1	3
3700	-1821.65659204521	1	1	2
3800	-1825.32193780527	1	1	2
3900	-1825.76238367224	1	1	2
4000	-1831.60304530879	1	1	4
4100	-1840.2507799971	4	1	4
4200	-1829.05047393636	1	1	4
4300	-1831.89463750322	1	1	4
4400	-1832.26398106656	1	1	4
4500	-1835.73783865529	1	1	4
4600	-1826.69334420869	2	1	2
4700	-1823.40439020906	1	1	2
4800	-1834.30108939462	2	1	2
4900	-1837.05485082369	4	1	2
5000	-1825.57090588499	1	1	2
5100	-1833.10309348088	1	1	3
5200	-1821.64401869116	1	1	2
5300	-1827.96597995869	1	1	3
5400	-1825.00922111577	2	1	2
5500	-1833.3835556142	3	1	2
5600	-1826.17281294642	2	1	2
5700	-1839.19196021554	1	1	4
5800	-1826.89148546405	2	1	2
5900	-1838.93571215423	1	1	5
6000	-1825.74504917743	1	1	3
6100	-1826.03190411894	1	1	2
6200	-1824.89574445384	1	1	2
6300	-1823.35404779267	1	1	2
6400	-1859.08122399091	5	1	5
6500	-1829.01126929802	3	1	1
6600	-1838.96317099885	4	1	2
6700	-1834.11010685198	3	1	2
6800	-1827.19748080337	3	1	1
6900	-1822.55027036756	1	1	2
7000	-1821.93397604349	1	1	2
7100	-1829.15491740975	1	1	3
7200	-1833.31234712439	2	1	4
7300	-1828.08683802431	2	1	3
7400	-1821.30706045441	1	1	2
7500	-1821.73198845463	1	1	2
7600	-1828.23071168336	1	1	3
7700	-1825.63231225056	2	1	2
7800	-1825.93213461904	1	1	2
7900	-1833.28577219793	2	1	4
8000	-1829.65965261259	1	1	4
8100	-1840.82849036314	3	1	3
8200	-1825.28587852925	1	1	2
8300	-1831.00517571218	2	2	2
8400	-1837.70154958458	3	3	1
8500	-1850.74546745364	5	2	3
8600	-1840.02036955255	3	2	2
8700	-1825.23462115616	2	2	1
8800	-1836.06774233501	4	2	0
8900	-1824.73444184323	1	1	0
9000	-1829.45672297668	1	1	1
